sample,id,Period,Year,x,y,GeneticGroup,SpawnTime,Stock
MHER064,idefjord_13,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER065,risor_7,mh,2003,9.23274,58.7203,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER066,risor_8,mh,2003,9.23274,58.7203,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND001,gullholmen_1,17sp,1750,11.40086,58.18524,North Atlantic,Autumn,North Atlantic Autumn-Spawner
ND006,gullholmen_2,17sp,1750,11.40086,58.18524,North Sea,Autumn,North Sea Autumn-Spawner
ND009,gullholmen_3,17sp,1750,11.40086,58.18524,North Sea,Autumn,North Sea Autumn-Spawner
ND010,gullholmen_4,17sp,1750,11.40086,58.18524,North Sea,Autumn,North Sea Autumn-Spawner
ND011,gullholmen_5,17sp,1750,11.40086,58.18524,North Sea,Autumn,North Sea Autumn-Spawner
ND021,kalvsund_1,18sp,1880,11.68775,57.70265,North Sea,Autumn,North Sea Autumn-Spawner
ND022,koster_1,18sp,1881,11.02689,58.90114,North Sea,Autumn,North Sea Autumn-Spawner
ND023,koster_2,18sp,1897,11.02689,58.90114,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND024,koster_3,18sp,1897,11.02689,58.90114,Norwegian,Spring,Norwegian Spring-Spawner
ND026,koster_4,18sp,1898,11.02689,58.90114,Norwegian,Spring,Norwegian Spring-Spawner
ND028,scotland_1,18sp,1900,-4.29295,56.61952,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND029,scotland_2,18sp,1900,-4.29295,56.61952,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND030,haugesund_1,18sp,1900,5.246043,59.4257685,Norwegian,Spring,Norwegian Spring-Spawner
ND031,haugesund_2,18sp,1900,5.246043,59.4257685,Norwegian,Spring,Norwegian Spring-Spawner
ND034,kalvsund_2,18sp,1880,11.68775,57.70265,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND036,kalvsund_3,18sp,1881,11.68775,57.70265,Norwegian,Spring,Norwegian Spring-Spawner
ND038,scotland_3,18sp,1900,-4.29295,56.61952,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND039,scotland_4,18sp,1900,-4.29295,56.61952,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
ND040,haugesund_3,18sp,1900,5.246043,59.4257685,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
